ID,Item,name,duration,log_duration,c_logduration,level ,proficiency,pho_len,c_pho_len,logdice,c_logdice,zpf_total,c_zpf_total,zpf_w1,c_zpf_w1,zpf_w2,c_zpf_w2
63,1,TW164,2.066 ,0.315 ,0.192 ,1.000 ,Basic,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
64,1,TW165,1.750 ,0.243 ,0.120 ,1.000 ,Basic,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
65,1,TW166,1.103 ,0.043 ,-0.080 ,2.000 ,Basic,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
66,2,TW101,1.248 ,0.096 ,-0.027 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
67,2,TW102,1.048 ,0.020 ,-0.103 ,2.000 ,Basic,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
68,2,TW103,1.022 ,0.009 ,-0.114 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
69,2,TW104,1.152 ,0.061 ,-0.062 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
70,2,TW105,0.938 ,-0.028 ,-0.151 ,4.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
71,2,TW106,NA,NA,NA,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
72,2,TW107,1.142 ,0.058 ,-0.065 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
73,2,TW108,1.327 ,0.123 ,0.000 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
74,2,TW109,1.477 ,0.169 ,0.046 ,2.000 ,Basic,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
75,2,TW110,1.274 ,0.105 ,-0.018 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
76,2,TW111,1.280 ,0.107 ,-0.016 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
77,2,TW113,1.385 ,0.141 ,0.018 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
78,2,TW114,1.015 ,0.006 ,-0.117 ,4.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
79,2,TW115,1.230 ,0.090 ,-0.033 ,2.000 ,Basic,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
80,2,TW116,1.075 ,0.031 ,-0.092 ,4.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
81,2,TW117,NA,NA,NA,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
82,2,TW118,1.139 ,0.057 ,-0.066 ,2.000 ,Basic,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
83,2,TW119,1.097 ,0.040 ,-0.083 ,4.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
84,2,TW120,1.227 ,0.089 ,-0.034 ,2.000 ,Basic,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
85,2,TW121,0.934 ,-0.030 ,-0.153 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
86,2,TW122,1.333 ,0.125 ,0.002 ,2.000 ,Basic,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
87,2,TW123,NA,NA,NA,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
88,2,TW124,1.398 ,0.146 ,0.023 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
89,2,TW125,1.278 ,0.107 ,-0.016 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
90,2,TW126,1.522 ,0.182 ,0.059 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
91,2,TW127,1.145 ,0.059 ,-0.064 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
92,2,TW128,0.985 ,-0.007 ,-0.130 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
93,2,TW129,1.432 ,0.156 ,0.033 ,2.000 ,Basic,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
94,2,TW130,0.887 ,-0.052 ,-0.175 ,4.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
95,2,TW131,1.187 ,0.074 ,-0.049 ,4.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
96,2,TW132,1.040 ,0.017 ,-0.106 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
97,2,TW133,1.201 ,0.080 ,-0.043 ,4.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
98,2,TW134,1.290 ,0.111 ,-0.012 ,2.000 ,Basic,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
99,2,TW135,1.645 ,0.216 ,0.093 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
100,2,TW136,0.950 ,-0.022 ,-0.145 ,4.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
101,2,TW137,0.932 ,-0.031 ,-0.154 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
102,2,TW138,1.300 ,0.114 ,-0.009 ,2.000 ,Basic,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
103,2,TW139,1.775 ,0.249 ,0.126 ,1.000 ,Basic,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
104,2,TW140,0.886 ,-0.053 ,-0.176 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
105,2,TW141,0.886 ,-0.053 ,-0.176 ,4.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
106,2,TW142,1.219 ,0.086 ,-0.037 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
107,2,TW143,1.096 ,0.040 ,-0.083 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
108,2,TW144,1.838 ,0.264 ,0.141 ,4.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
109,2,TW145,2.912 ,0.464 ,0.341 ,1.000 ,Basic,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
110,2,TW146,1.263 ,0.101 ,-0.022 ,2.000 ,Basic,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
111,2,TW147,1.166 ,0.067 ,-0.056 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
112,2,TW148,1.047 ,0.020 ,-0.103 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
113,2,TW149,0.913 ,-0.040 ,-0.163 ,4.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
114,2,TW150,1.619 ,0.209 ,0.086 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
115,2,TW151,1.040 ,0.017 ,-0.106 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
116,2,TW152,NA,NA,NA,1.000 ,Basic,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
117,2,TW153,1.070 ,0.029 ,-0.094 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
118,2,TW154,1.168 ,0.067 ,-0.056 ,2.000 ,Basic,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
119,2,TW155,1.272 ,0.104 ,-0.019 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
120,2,TW156,1.065 ,0.027 ,-0.096 ,4.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
121,2,TW157,1.255 ,0.099 ,-0.024 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
122,2,TW158,0.985 ,-0.007 ,-0.130 ,4.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
123,2,TW159,0.926 ,-0.033 ,-0.156 ,4.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
124,2,TW160,1.480 ,0.170 ,0.047 ,2.000 ,Basic,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
125,2,TW161,2.300 ,0.362 ,0.239 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
126,2,TW162,NA,NA,NA,2.000 ,Basic,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
127,2,TW163,1.178 ,0.071 ,-0.052 ,3.000 ,Intermediate,10.000 ,-0.250 ,5.400 ,-1.038 ,2.477 ,-0.438 ,4.645 ,-0.360 ,5.655 ,0.135 
